U-235(n,g) ENDFB-8.0
Energy(eV) XS(b)
4.67662 7.44590
4.68229 7.88913
4.68795 8.38826
4.69078 8.66191
4.69361 8.95364
4.69644 9.26529
4.69927 9.59858
4.70210 9.95581
4.70493 10.3394
4.70776 10.7524
4.71059 11.1976
4.71342 11.6786
4.71625 12.1996
4.71869 12.6853
4.72114 13.2073
4.72358 13.7696
4.72603 14.3758
4.72847 15.0309
4.73092 15.7392
4.73336 16.5065
4.73580 17.3385
4.73825 18.2423
4.74069 19.2242
4.74314 20.2924
4.74558 21.4545
4.74803 22.7202
4.75047 24.0978
4.75291 25.5976
4.75536 27.2301
4.75819 29.3010
4.76102 31.5805
4.76385 34.0867
4.76668 36.8368
4.76951 39.8476
4.77234 43.1347
4.77517 46.7122
4.77800 50.5922
4.78083 54.7853
4.78366 59.2940
4.78649 64.1230
4.78932 69.2651
4.79215 74.7147
4.79498 80.4523
4.79781 86.4575
4.80064 92.7008
4.80450 101.532
4.80836 110.619
4.81608 128.985
4.82123 140.816
4.82453 147.985
4.82783 154.675
4.83113 160.768
4.83443 166.146
4.83848 171.605
4.84050 173.822
4.84252 175.671
4.84454 177.140
4.84656 178.217
4.84858 178.893
4.85060 179.163
4.85131 179.161
4.85324 178.901
4.85517 178.271
4.85711 177.274
4.85904 175.918
4.86291 172.172
4.86678 167.141
4.87009 161.918
4.87340 155.961
4.87614 150.553
4.87888 144.790
4.88436 132.475
4.89234 113.648
4.89633 104.251
4.90031 95.0888
4.90306 88.9923
4.90580 83.1064
4.90854 77.4558
4.91128 72.0671
4.91402 66.9531
4.91676 62.1286
4.91950 57.5977
4.92224 53.3618
4.92499 49.4167
4.92773 45.7594
4.93047 42.3784
4.93321 39.2648
4.93595 36.4037
4.93869 33.7830
4.94143 31.3867
4.94418 29.1995
4.94667 27.3789
4.94916 25.7079
4.95165 24.1744
4.95414 22.7678
4.95664 21.4773
4.95913 20.2942
4.96162 19.2088
4.96411 18.2125
4.96661 17.2971
4.96910 16.4559
4.97159 15.6818
4.97408 14.9686
4.97657 14.3106
4.97907 13.7029
4.98156 13.1406
4.98405 12.6196
4.98804 11.8625
4.99103 11.3495
4.99402 10.8782
4.99701 10.4438
5.00000 10.0429
5.00424 9.52536
5.00847 9.05984
5.01271 8.63946
5.01695 8.25854
5.02118 7.91207
5.02542 7.59603
5.02966 7.30692
5.03389 7.04182
5.03813 6.79805
5.04237 6.57346
5.04661 6.36612
5.05084 6.17440
5.05508 5.99676
5.05932 5.83194
5.06779 5.53642
5.07304 5.37334
5.07829 5.22382
5.08355 5.08654
5.08880 4.96041
5.09931 4.73751
5.10981 4.54848
5.12032 4.38804
5.13082 4.25204
5.14133 4.13715
5.15183 4.04074
5.16070 3.97208
5.16958 3.91399
5.17845 3.86557
5.18732 3.82607
5.19619 3.79488
5.20506 3.77149
5.22281 3.74672
5.24055 3.74995
5.25830 3.78119
5.26717 3.80792
5.27604 3.84274
5.28491 3.88652
5.29378 3.94049
5.30432 4.02031
5.31485 4.12136
5.32539 4.25024
5.33066 4.32804
5.33592 4.41682
5.34119 4.51860
5.34646 4.63575
5.35173 4.77108
5.35700 4.92779
5.36226 5.10966
5.36753 5.32069
5.37280 5.56532
5.37807 5.84790
5.38307 6.15572
5.38808 6.50489
5.39309 6.89798
5.39810 7.33608
5.40310 7.81900
5.40811 8.34417
5.41312 8.90704
5.41813 9.49999
5.42792 10.7064
5.43282 11.3063
5.43772 11.8834
5.44399 12.5625
5.44713 12.8667
5.45027 13.1414
5.45341 13.3828
5.45654 13.5873
5.45968 13.7518
5.46282 13.8738
5.46461 13.9238
5.46730 13.9709
5.46999 13.9843
5.47334 13.9536
5.47669 13.8711
5.48004 13.7381
5.48339 13.5572
5.48675 13.3316
5.49010 13.0651
5.49345 12.7623
5.49680 12.4283
5.50144 11.9241
5.50608 11.3844
5.51535 10.2541
5.52264 9.37217
5.52993 8.53845
5.53357 8.14836
5.53721 7.77936
5.54086 7.43295
5.54450 7.11008
5.54748 6.86348
5.55046 6.63280
5.55344 6.41769
5.55643 6.21774
5.55941 6.03236
5.56239 5.86101
5.56537 5.70294
5.56835 5.55738
5.57133 5.42352
5.57431 5.30064
5.58028 5.08456
5.58624 4.90305
5.59220 4.75067
5.59684 4.64912
5.60148 4.56026
5.60611 4.48234
5.61075 4.41390
5.62003 4.30048
5.62930 4.21199
5.63858 4.14274
5.64785 4.08871
5.65713 4.04706
5.66640 4.01576
5.67784 3.98927
5.68928 3.97436
5.70071 3.96969
5.71215 3.97433
5.72359 3.98763
5.73503 4.00917
5.75790 4.07611
5.78078 4.17476
5.79221 4.23638
5.80365 4.30659
5.81938 4.41800
5.83510 4.54789
5.85083 4.69798
5.86656 4.87036
5.88228 5.06758
5.89801 5.29270
5.91374 5.54950
5.92946 5.84248
5.94447 6.16081
5.95948 6.52272
5.96698 6.72207
5.97448 6.93493
5.98199 7.16233
5.98949 7.40538
5.99699 7.66531
6.00450 7.94335
6.01200 8.24091
6.01950 8.55947
6.02700 8.90056
6.03451 9.26581
6.04201 9.65690
6.04951 10.0755
6.06128 10.7915
6.07304 11.5857
6.08481 12.4640
6.09657 13.4312
6.10834 14.4906
6.12010 15.6442
6.13187 16.8928
6.14363 18.2367
6.15326 19.4098
6.16289 20.6524
6.17252 21.9734
6.18215 23.3876
6.19179 24.9211
6.20142 26.6138
6.20623 27.5382
6.21105 28.5275
6.21586 29.5941
6.22068 30.7530
6.22415 31.6578
6.22763 32.6281
6.23111 33.6731
6.23459 34.8029
6.23807 36.0299
6.24155 37.3671
6.24503 38.8305
6.24850 40.4370
6.25198 42.2071
6.25546 44.1622
6.25894 46.3284
6.26242 48.7326
6.26590 51.4072
6.26938 54.3850
6.27285 57.7054
6.27633 61.4072
6.27847 63.8950
6.28061 66.5538
6.28246 68.9899
6.28430 71.5691
6.28614 74.2988
6.28798 77.1849
6.28983 80.2381
6.29167 83.4627
6.29351 86.8696
6.29535 90.4627
6.29720 94.2532
6.29904 98.2440
6.30088 102.446
6.30272 106.862
6.30457 111.502
6.30641 116.366
6.31009 126.797
6.31270 134.760
6.31531 143.205
6.31792 152.137
6.32053 161.554
6.32314 171.451
6.32574 181.805
6.32835 192.601
6.33096 203.812
6.33618 227.335
6.34139 252.004
6.34661 277.348
6.35183 302.783
6.35679 326.467
6.36176 348.990
6.36672 369.694
6.37169 387.929
6.37599 401.253
6.38028 411.933
6.38458 419.685
6.38888 424.298
6.39200 425.605
6.39356 425.604
6.39747 423.687
6.40138 419.083
6.40528 411.894
6.40919 402.280
6.41317 390.217
6.41714 376.126
6.42112 360.301
6.42509 343.072
6.43066 317.230
6.43622 290.201
6.44179 262.834
6.44735 235.899
6.45292 210.020
6.45570 197.641
6.45848 185.699
6.46126 174.229
6.46405 163.269
6.46683 152.836
